,load,avg_latency,p99,stddev_latency,allocs,event_start_time,event_end_time
1650182472.1637847,87801.0,136.813,522.241,191.062,"{'root--consul': 6.6, 'root--frontend': 4.6, 'root--geo': 7.4, 'root--jaeger': 13.8, 'root--memcached-profile': 8.216666666666667, 'root--memcached-rate': 4.0, 'root--memcached-reserve': 5.366666666666666, 'root--mongodb-geo': 15.883333333333333, 'root--mongodb-profile': 6.25, 'root--mongodb-rate': 7.35, 'root--mongodb-recommendation': 4.0, 'root--mongodb-reservation': 6.35, 'root--mongodb-user': 5.566666666666666, 'root--profile': 3.8666666666666667, 'root--rate': 3.433333333333333, 'root--recommendation': 11.833333333333334, 'root--reservation': 6.916666666666667, 'root--search': 6.35, 'root--user': 12.483333333333333}",1650182472.1637847,1650182502.2110114
1650182502.2117085,85107.0,798.751,1306.326,372.773,"{'root--consul': 6.0, 'root--frontend': 4.0, 'root--geo': 4.0, 'root--jaeger': 12.0, 'root--memcached-profile': 9.0, 'root--memcached-rate': 4.0, 'root--memcached-reserve': 4.0, 'root--mongodb-geo': 8.0, 'root--mongodb-profile': 4.0, 'root--mongodb-rate': 19.0, 'root--mongodb-recommendation': 4.0, 'root--mongodb-reservation': 4.0, 'root--mongodb-user': 4.0, 'root--profile': 7.0, 'root--rate': 5.0, 'root--recommendation': 4.0, 'root--reservation': 3.0, 'root--search': 4.0, 'root--user': 7.0}",1650182502.2117085,1650182532.2655954
1650182532.2663052,82617.0,1293.698,1909.279,518.826,"{'root--consul': 6.0, 'root--frontend': 4.0, 'root--geo': 4.0, 'root--jaeger': 12.0, 'root--memcached-profile': 9.0, 'root--memcached-rate': 4.0, 'root--memcached-reserve': 4.0, 'root--mongodb-geo': 8.0, 'root--mongodb-profile': 4.0, 'root--mongodb-rate': 19.0327868852459, 'root--mongodb-recommendation': 4.0, 'root--mongodb-reservation': 4.0, 'root--mongodb-user': 4.0, 'root--profile': 7.0, 'root--rate': 5.0, 'root--recommendation': 4.0, 'root--reservation': 3.0, 'root--search': 4.0, 'root--user': 7.0}",1650182532.2663052,1650182562.8166342
1650182562.817277,82404.0,1725.21,2053.709,423.93300000000005,"{'root--consul': 6.0, 'root--frontend': 4.0, 'root--geo': 4.0, 'root--jaeger': 12.0, 'root--memcached-profile': 9.0, 'root--memcached-rate': 4.0, 'root--memcached-reserve': 4.0, 'root--mongodb-geo': 8.0, 'root--mongodb-profile': 4.0, 'root--mongodb-rate': 19.0327868852459, 'root--mongodb-recommendation': 4.0, 'root--mongodb-reservation': 4.0, 'root--mongodb-user': 4.0, 'root--profile': 7.0, 'root--rate': 5.0, 'root--recommendation': 4.0, 'root--reservation': 3.0, 'root--search': 4.0, 'root--user': 7.0}",1650182562.817277,1650182593.3594582
1650182593.3601828,84434.0,1263.633,1516.618,306.837,"{'root--consul': 6.0, 'root--frontend': 4.0, 'root--geo': 4.0, 'root--jaeger': 12.0, 'root--memcached-profile': 9.0, 'root--memcached-rate': 4.0, 'root--memcached-reserve': 4.0, 'root--mongodb-geo': 8.0, 'root--mongodb-profile': 4.0, 'root--mongodb-rate': 19.0, 'root--mongodb-recommendation': 4.0, 'root--mongodb-reservation': 4.0, 'root--mongodb-user': 4.0, 'root--profile': 7.0, 'root--rate': 5.0, 'root--recommendation': 4.0, 'root--reservation': 3.0, 'root--search': 4.0, 'root--user': 7.0}",1650182593.3601828,1650182623.8972445
1650182623.8979785,79283.0,1559.404,2103.254,544.863,"{'root--consul': 5.557377049180328, 'root--frontend': 3.918032786885246, 'root--geo': 4.0, 'root--jaeger': 10.819672131147541, 'root--memcached-profile': 8.508196721311476, 'root--memcached-rate': 4.0, 'root--memcached-reserve': 4.0, 'root--mongodb-geo': 7.672131147540983, 'root--mongodb-profile': 4.0, 'root--mongodb-rate': 19.0, 'root--mongodb-recommendation': 4.0, 'root--mongodb-reservation': 4.0, 'root--mongodb-user': 4.0, 'root--profile': 7.0, 'root--rate': 5.0, 'root--recommendation': 4.0, 'root--reservation': 3.0, 'root--search': 4.0, 'root--user': 7.0}",1650182623.8979785,1650182654.4411206
1650182654.441877,89310.0,61.407,115.879,0.978,"{'root--consul': 3.0, 'root--frontend': 3.0, 'root--geo': 4.0, 'root--jaeger': 4.0, 'root--memcached-profile': 3.0, 'root--memcached-rate': 13.883333333333333, 'root--memcached-reserve': 4.0, 'root--mongodb-geo': 4.0, 'root--mongodb-profile': 3.0166666666666666, 'root--mongodb-rate': 5.233333333333333, 'root--mongodb-recommendation': 4.95, 'root--mongodb-reservation': 10.4, 'root--mongodb-user': 17.1, 'root--profile': 6.05, 'root--rate': 4.05, 'root--recommendation': 4.0, 'root--reservation': 3.033333333333333, 'root--search': 4.0, 'root--user': 4.3}",1650182654.441877,1650182684.4852226
1650182684.4859984,89320.0,59.857,119.247,1.2990000000000002,"{'root--consul': 3.0, 'root--frontend': 3.0, 'root--geo': 4.0, 'root--jaeger': 4.0, 'root--memcached-profile': 3.0, 'root--memcached-rate': 15.0, 'root--memcached-reserve': 4.0, 'root--mongodb-geo': 4.0, 'root--mongodb-profile': 3.0, 'root--mongodb-rate': 5.0, 'root--mongodb-recommendation': 5.0, 'root--mongodb-reservation': 11.0, 'root--mongodb-user': 19.0, 'root--profile': 6.0, 'root--rate': 4.0, 'root--recommendation': 4.0, 'root--reservation': 3.466666666666667, 'root--search': 4.0, 'root--user': 4.0}",1650182684.4859984,1650182714.5338488
1650182714.5345273,89319.0,58.922,114.706,1.339,"{'root--consul': 3.0, 'root--frontend': 3.0, 'root--geo': 4.0, 'root--jaeger': 4.0, 'root--memcached-profile': 3.0, 'root--memcached-rate': 15.0, 'root--memcached-reserve': 4.0, 'root--mongodb-geo': 4.0, 'root--mongodb-profile': 3.0, 'root--mongodb-rate': 5.0, 'root--mongodb-recommendation': 5.0, 'root--mongodb-reservation': 11.0, 'root--mongodb-user': 19.033333333333335, 'root--profile': 6.0, 'root--rate': 4.0, 'root--recommendation': 4.0, 'root--reservation': 4.0, 'root--search': 4.0, 'root--user': 4.0}",1650182714.5345273,1650182744.5843966
1650182744.585054,89321.0,69.443,114.424,1.399,"{'root--consul': 3.0, 'root--frontend': 3.0, 'root--geo': 4.0, 'root--jaeger': 4.0, 'root--memcached-profile': 3.0, 'root--memcached-rate': 15.0, 'root--memcached-reserve': 4.0, 'root--mongodb-geo': 4.0, 'root--mongodb-profile': 3.0, 'root--mongodb-rate': 5.0, 'root--mongodb-recommendation': 5.0, 'root--mongodb-reservation': 11.0, 'root--mongodb-user': 19.0, 'root--profile': 6.0, 'root--rate': 4.0, 'root--recommendation': 4.0, 'root--reservation': 4.0, 'root--search': 4.0, 'root--user': 4.0}",1650182744.585054,1650182775.1302946
1650182775.1309607,89326.0,58.597,102.052,1.307,"{'root--consul': 3.0, 'root--frontend': 3.0, 'root--geo': 4.0, 'root--jaeger': 4.0, 'root--memcached-profile': 3.0, 'root--memcached-rate': 15.0, 'root--memcached-reserve': 4.0, 'root--mongodb-geo': 4.0, 'root--mongodb-profile': 3.0, 'root--mongodb-rate': 5.0, 'root--mongodb-recommendation': 5.0, 'root--mongodb-reservation': 11.0, 'root--mongodb-user': 19.0, 'root--profile': 6.0, 'root--rate': 4.0, 'root--recommendation': 4.0, 'root--reservation': 4.0, 'root--search': 4.0, 'root--user': 4.0}",1650182775.1309607,1650182805.1748655
